assessment_id,jurisdiction_id,assessed_at,assessor_role,coverage_state,official_source_state,negative_finding_state,completeness_basis,next_review_due,review_status,evidence_path,notes
COV-001,INT,2026-07-29T00:00:00Z,analyst-agent,partial,found,not_assessed,Agent-reviewed bounded search and browser source receipt; partial status retained; no completeness inference.,2026-08-29,accepted,build/pilot-official-searches.json,Owner-approved conditional pilot assessment; rights and completeness remain unresolved.
COV-002,AUS,2026-07-29T00:00:00Z,analyst-agent,partial,found,not_assessed,Agent-reviewed bounded search and browser source receipt; partial status retained; no completeness inference.,2026-08-29,accepted,build/pilot-official-searches.json,Owner-approved conditional pilot assessment; rights and completeness remain unresolved.
COV-003,GBR,2026-07-31T08:58:23Z,analyst-agent,partial,found,not_assessed,Official collection and guide reviewed; machine-readable and licence scope established but source-edition completeness not adjudicated.,2026-08-31,reviewed,docs/methods/public-source-follow-up-2026-07-31.md,"Accredited family-court collection has ODS/CSV, quality and revision guidance, broad family-matter scope, and OGL v3.0 licensing except where stated; edition-level completeness still requires review."
COV-004,CAN,2026-07-31T08:58:23Z,analyst-agent,partial,found,not_assessed,Official downloadable table and current release reviewed; participating-jurisdiction and case-labelling limitations retained.,2026-08-31,reviewed,docs/methods/public-source-follow-up-2026-07-31.md,"Civil Court Survey table covers core family types, but participating jurisdictions vary and current release documents exclusions and inconsistent labels; no national completeness inference."
COV-005,USA,2026-07-31T08:58:23Z,analyst-agent,partial,found,not_assessed,Official NCSC methodology and dashboard description reviewed; stated national coverage is substantial but incomplete.,2026-08-31,reviewed,docs/methods/public-source-follow-up-2026-07-31.md,"Standardized Domestic Relations and Pending/Incoming/Outgoing categories are public; NCSC states more than 95% of filings are covered, which is not complete national coverage."
COV-006,GBR-EAW,2026-07-31T22:26:08Z,analyst-agent,partial,found,not_assessed,Exact 2026 Q1 edition acquired and checksummed; official release and guide establish matter scope and machine-readable files and revision semantics and OGL v3 licence.,2026-08-31,reviewed,docs/methods/public-source-follow-up-2026-07-31.md,"England and Wales 2026 Q1 archive has 25 safe top-level members covering national and subnational tables; taxonomy mapping, missingness assessment, historical continuity, agent validation and owner adjudication remain, so partial status is retained."
COV-007,NZL,2026-07-29T00:00:00Z,analyst-agent,partial,found,not_assessed,Agent-reviewed official browser receipt and matching institution map; partial status retained; no completeness inference.,2026-08-29,reviewed,docs/methods/remaining-gates.md,"Official New Zealand Ministry of Justice statistics source and institutional anchor confirmed; family-specific scope, completeness, and rights remain unresolved."
COV-008,SGP,2026-07-31T08:58:23Z,analyst-agent,partial,found,not_assessed,Official caseload and annual-report pages reviewed; category and measure leads retained without historical completeness inference.,2026-08-31,reviewed,docs/methods/public-source-follow-up-2026-07-31.md,"Family Justice Courts filings, disposals and clearance are public with maintenance/family-violence and divorce-related categories; definitions, full history and rights remain unresolved."
COV-009,CAN-BC,2026-07-31T08:58:23Z,analyst-agent,partial,found,not_assessed,Official current release reviewed and material case-type labelling limitation recorded.,2026-08-31,reviewed,docs/methods/public-source-follow-up-2026-07-31.md,"British Columbia participates but is excluded from one 2024/25 case-type chart because of inconsistent labels; comparability and completeness remain unresolved."
COV-010,USA-CA,2026-08-01T00:00:00Z,analyst-agent,partial,found,not_assessed,"Official annual report and dashboard description reviewed; PAJAR acknowledged the enquiry and estimated a 2026-08-10 records determination, but no determination is available yet.",2026-08-31,reviewed,docs/methods/direct-enquiries/USA-CA.md,"Family tables distinguish marital/parentage, domestic violence, child support and other petitions; PAJAR routing is recorded, while edition-level definitions, completeness and reuse remain unresolved."
